Country,Year,MinWage,RealWage,LogRealWage,USDWage,RealUSDWage,NepalCPI,NepalUnemploy,GDPPerCapita,GDPPerCapitaLCU,RealGDPPerCapitaLCU,NepalGDP,NepalGDPLCU,RealNepalGDPLCU,LUCperUSD,RMGExports,RealUSDExports,LocExports,RealLocExports,LogExports,SecondarySchoolEnrollment
Nepal,2023,"17,300.00","7,265.66",8.89,130.95,54.99,238.1064792,10.628,1382.330558,1925.428062,808.6416079,41.04777233,5366.996232,2254.031999,132.1154601,85,35.69831459,11.22981411,4.716299257,2.418572215,89.55136356
Nepal,2022,"15,000.00","6,747.91",8.82,119.81,53.90,222.2910085,10.844,1385.910663,1807.397204,813.0770633,41.1829396,4976.557696,2238.757982,125.1994578,87,39.13788533,10.89235283,4.900042022,2.388060968,83.92280769
Nepal,2021,"15,000.00","7,264.18",8.89,126.97,61.49,206.4926833,12.186,1252.750767,1674.738239,811.0399905,36.92484139,4352.550241,2107.847199,118.1340816,73,35.35234219,8.623787957,4.176316477,2.154524426,83.516219
Nepal,2020,13450,"6,783.84",8.82,113.65,57.32,198.2653074,12.975,1154.215176,1476.691693,744.8058929,33.4336593,3888.703651,1961.36364,118.3451873,57,28.74935648,6.745675676,3.402347977,1.908901659,84.58850098
Nepal,2019,13450,"7,126.58",8.87,119.44,63.29,188.7299772,10.389,1203.142947,1342.479663,711.3229615,34.1861807,3858.930402,2044.68334,112.6094828,74,39.20945739,8.333101727,4.415356718,2.120235743,79.31681824
Nepal,2018,13450,"7,523.44",8.93,123.47,69.07,178.7745829,10.559,1179.198432,1358.105761,759.6749711,33.11152524,3455.94929,1933.132347,108.9301341,86,48.10527235,9.367991533,5.240113768,2.237298722,
Nepal,2017,9700,"5,646.18",8.64,92.81,54.02,171.7976016,10.66,1034.283749,1230.764803,716.4039495,28.97158894,3077.144919,1791.145447,104.5118852,82,47.73058485,8.569974586,4.988413404,2.148264767,73.94235229
Nepal,2016,8000,"4,825.54",8.48,74.50,44.94,165.7844406,10.742,877.2564547,1098.538637,662.6307228,24.52410948,2608.184438,1573.238374,107.3838152,83,50.06501195,8.912856662,5.376171991,2.187494803,71.81790161
Nepal,2015,8000,"5,249.73",8.57,78.12,51.26,152.3889305,10.644,875.5436355,932.9784776,612.2350715,24.36080129,2423.638483,1590.429485,102.4051343,72,47.24752629,7.37316967,4.838389275,1.997847691,68.92825317
Nepal,2014,8000,"5,662.82",8.64,82.01,58.05,141.2723387,10.617,821.4552249,871.072024,616.5906447,22.73161292,2232.525284,1580.298949,97.55484216,85,60.16747566,8.292161584,5.869628591,2.115310681,68.13394928
Nepal,2013,8000,"6,136.47",8.72,85.94,65.92,130.3681454,10.687,803.2695954,806.7705381,618.8402356,22.16220493,1949.294819,1495.223249,93.08439381,76,58.29644946,7.07441393,5.42648966,1.956484603,66.36921692
Nepal,2012,6200,"5,185.69",8.55,72.75,60.85,119.5597491,10.643,788.2029371,706.5223273,590.9366092,21.70310088,1758.379178,1470.711666,85.22575599,62,51.85691712,5.283996871,4.419544965,1.664682795,64.07684326
Nepal,2011,6200,"5,676.25",8.64,83.76,76.69,109.2270755,10.64,785.5186562,638.5998206,584.6534091,21.57387242,1559.222569,1427.505554,74.02,96,87.89029603,7.10592,6.505639712,1.960928239,59.73139954
Nepal,2010,4600,"4,600.00",8.43,62.79,62.79,100,10.554,585.278492,567.7230278,567.7230278,16.00265643,1192.774,1192.774,73.26235902,84,84,6.154038158,6.154038158,1.817108477,56.34318924
Nepal,2009,4600,"5,029.02",8.52,59.30,64.83,91.46912802,10.587,473.0787512,436.2431768,476.9294146,12.85498546,988.272,1080.443229,77.57343074,84,91.83426345,6.516168182,7.123898875,1.874286501,49.9365387
Nepal,2008,4600,"5,586.98",8.63,65.94,80.09,82.3342843,10.613,464.8173919,363.6958477,441.7307453,12.54543861,815.658,990.6662904,69.761695,87,105.6667957,6.069267465,7.371494775,1.803237917,48.64606094
Nepal,2007,3300,"4,405.16",8.39,49.69,66.33,74.91211887,10.683,385.4497677,302.20707,403.4154614,10.32561802,727.827,971.5744408,66.4150275,80,106.7917998,5.3132022,7.09258032,1.670194704,42.5672493
Nepal,2006,3300,"4,505.12",8.41,45.36,61.92,73.24991764,10.639,340.4317964,271.693905,370.9135979,9.043715356,654.084,892.9484443,72.75560583,101,137.8841141,7.348316189,10.03184225,1.994471197,42.84846115
Nepal,2005,2394,"3,494.44",8.16,33.54,48.96,68.50887354,10.617,309.0241683,246.2162755,359.3932622,8.130258378,589.412,860.3440249,71.3675,91,132.8295085,6.4944425,9.479709948,1.870946811,45.21884918
Nepal,2004,2394,"3,733.33",8.23,32.49,50.67,64.12507041,10.71,279.58775,224.0304608,349.3648574,7.273938315,536.749,837.0345585,73.67359667,139,216.7638945,10.24062994,15.96977574,2.326363135,
Nepal,2003,2394,"3,839.42",8.25,31.44,50.42,62.3531126,10.702,246.4297066,206.3097579,330.8732304,6.330473097,492.231,789.4249051,76.1414475,226,362.4518337,17.20796714,27.59760727,2.845372482,41.93066025
Nepal,2002,1950,"3,305.83",8.10,25.04,42.45,58.98673418,10.632,238.891403,191.6133898,324.8414961,6.050875807,459.443,778.8920787,77.87661917,,,,,,40.76897812
Nepal,2001,1950,"3,405.97",8.13,26.02,45.44,57.25233232,10.504,240.7951145,181.3902423,316.8259439,6.007055042,441.5185456,771.1800161,74.94925,154,268.984675,11.5421845,20.16019965,2.446008541,37.11552811
Nepal,2000,1950,"3,497.54",8.16,27.43,49.20,55.75350866,10.551,223.8302892,176.9844092,317.4408453,5.494252208,379.488,680.6531268,71.09379583,209,374.8643001,14.85860333,26.65052601,2.698579046,34.15636826
Nepal,1999,,,,,,54.40490879,10.581,208.6466679,154.5995807,284.1647641,5.033642384,342.036,628.6859175,68.23937083,138,253.6535821,9.417033175,17.30916085,2.242520089,32.90382004
Nepal,1998,,,,,,50.63224333,10.551,205.0752463,141.7754108,280.0101308,4.856255044,300.845,594.1767147,65.9757875,106,209.3527622,6.993433475,13.81221335,1.944971634,
Nepal,1997,,,,,,45.51439216,10.535,211.8348696,127.0441151,279.1295436,4.918691917,280.513,616.3171399,58.00954917,109,239.4846879,6.32304086,13.89239878,1.844200241,
Nepal,1996,,,,,,43.75963575,10.443,198.8219074,120.8094261,276.0750267,4.521580381,248.913,568.8187201,56.6919525,105,239.9471527,5.952655013,13.60307258,1.783837341,42.90795135
Nepal,1995,,,,,,40.06541732,10.484,197.8430013,109.45146,273.1818793,4.401104418,219.175,547.0428481,51.89033333,111,277.0469083,5.759827,14.37605642,1.750907439,39.9688797
Nepal,1994,,,,,,37.22757094,10.465,187.2581762,98.52581466,264.6581879,4.06677551,199.272,535.2806938,49.39751833,80,214.8944935,3.951801466,10.61525468,1.374171542,38.15710831
Nepal,1993,,,,,,34.35885188,10.517,172.8052026,91.75650636,267.0534705,3.660041667,175.682,511.3151063,48.607165,85,247.3889416,4.131609025,12.0248751,1.418666926,37.7507019
Nepal,1992,,,,,,31.96011897,10.493,165.0295941,82.94649724,259.5312531,3.401211581,152.7144,477.8280085,42.7175,78,244.0541604,3.331965,10.42538359,1.20356222,36.45404053
Nepal,1991,,,,,,27.28147583,10.484,195.7166214,74.09828776,271.6065957,3.921476085,123.801,453.7914326,37.255,37,135.6231614,1.378435,5.052640878,0.3209487977,33.88475037
Nepal,1990,,,,,,23.60858182,,185.7946004,61.78773738,261.7172766,3.627560239,103.416,438.044101,29.36916667,50,211.7873932,1.468458334,6.220019248,0.3842130977,31.92156982
Nepal,1989,,,,,,21.81138874,,184.9754165,52.96709946,242.8414811,3.525225787,89.269,409.2770115,27.18883333,45,206.3142358,1.2234975,5.609443371,0.2017135605,30.78899956
Nepal,1988,,,,,,20.03859675,,187.0847776,46.84117118,233.7547472,3.487009748,76.906,383.7893489,23.28925,41,204.6051453,0.95485925,4.765100381,-0.04619133156,29.15872955
Nepal,1987,,,,,,18.38690083,,162.0369069,41.2615477,224.4073,2.95725538,63.864,347.3342277,21.81916667,28,152.2823246,0.6109366668,3.322673421,-0.4927619802,28.24065971
Nepal,1986,,,,,,16.60211861,,159.5456828,34.9930043,210.7743302,2.850782044,55.724,335.6439097,21.22983333,45,271.0497441,0.9553424999,5.75434089,-0.04568536421,26.92639923
Nepal,1985,,,,,,13.95148333,,149.9004534,31.1862622,223.5336664,2.619913956,46.586,333.914315,18.24641667,28,200.6955055,0.5108996668,3.661973818,-0.6715820549,25.3350296
Nepal,1984,,,,,,12.91174669,,151.0781871,26.65454912,206.4364316,2.581207388,39.3899991,305.0710337,16.45941667,1,7.744885522,0.01645941667,0.1274762979,-4.106857524,23.68123055